id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Bass Drop City,DJ Axiom,electronic,energetic,0.95,140,0.72,0.91,0.03
12,Velvet Sunset,Rosewood,r&b,romantic,0.55,96,0.78,0.74,0.45
13,Backroad Anthem,Dusty Strings,country,happy,0.68,112,0.80,0.70,0.76
14,Shattered Glass,Iron Veil,metal,aggressive,0.97,170,0.25,0.42,0.04
15,Quiet Pages,Clara Moon,classical,peaceful,0.20,56,0.70,0.28,0.95
16,Street Poet,K. Lyric,hip-hop,intense,0.80,98,0.52,0.85,0.12
17,Island Breeze,Tropico Sol,reggae,relaxed,0.50,84,0.82,0.76,0.58
18,Frostbite Dawn,Pale Circuit,electronic,melancholic,0.62,128,0.32,0.68,0.15
